,Heating,Cooling
NYIS-ZONA,-14.639293680928848,53.587784342488256
NYIS-ZONB,-13.732796363535046,44.90725850422815
NYIS-ZONC,-25.999827827112973,57.14315719895626
NYIS-ZOND,-6.751660403644926,5.9059866860310715
NYIS-ZONE,-15.143509235834545,30.49197813715612
NYIS-ZONF,-18.12279756719808,60.846331367999305
NYIS-ZONG,-16.36924903184337,63.04189512941169
NYIS-ZONH,-6.525515006706287,20.32158882968181
NYIS-ZONI,-8.784846980198788,42.37876616847052
NYIS-ZONJ,-72.03299770108323,317.4260610203759
NYIS-ZONK,-34.8378985619088,195.92927782002644
ERCO-C,-249.7225350759504,562.2259903242257
ERCO-E,-51.92019010298312,58.27808175270026
ERCO-FW,-26.869283796022874,47.2658528832372
ERCO-N,-24.305301425862503,33.815275889453886
ERCO-NC,-510.9216475007189,676.655674298654
ERCO-S,-131.16729410202373,160.7734611867238
ERCO-SC,-262.0074045728658,338.96654798935754
ERCO-W,-34.00560449654213,41.69793398521272
CISO-PGAE,-55.05951471751033,400.22774341325356
CISO-SCE,-110.8026793124861,514.7092242535928
CISO-SDGE,-42.12099761620749,104.28445899139878
IID,-4.833089880519437,23.39922197871386
WALC,-29.562269666367644,33.08574147512236
LDWP,-42.51273336296839,127.54636141175136
TIDC,-1.2275750922028397,12.495266106052638
BANC,-20.57688616789891,87.4020216559871
ISNE-4000,-98.4206850361273,309.01333486706693
ISNE-4001,-13.446656114448093,40.31327958200574
ISNE-4002,-17.125134742237496,49.69818181200625
ISNE-4003,-7.851622777473951,13.937260953292947
ISNE-4004,-58.56769906619526,180.90404187254157
ISNE-4005,-13.132534396210849,52.065041440637955
