,s.heat,s.heat.stderr,s.cool.db,s.cool.db.stderr
NY,-3.648023136208438,0.014406461007941343,2.0738511591260633,0.008667229923488303
TX,-3.803755511667957,0.02188156714296742,2.8672888259024916,0.006113790904593015
CA,-1.5092502520084474,0.09036868154417267,1.7874568191802522,0.012523870685859447
NE,-3.5846457487918144,0.020000816772278655,1.9956557797711447,0.01404462152811937
